hanbetsu,A60,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A17,A20,A22,A25,A26,A27,A28,A29,A30,A31,A34,A42,A43,A44,A45,A46,A47,A48,A49,A50,A52,A56,A58,A61
2,919,47.99999991,47.99999991,435.9999991,97.99999981,95.99999981,95.99999981,773.9999985,64.05545102,61.65844522,4000.315684,7.670898438,5384.470561,63.27126515,10.5,10.06713449,19.80495119,22.71617834,16.99607937,3991.343681,2271.427846,0.916666667,32.17968956,71.53178921,743.2323234,6398.860871,11.76324681,733.4417333,8.0201846,26.06187041,15.99428619,4.772021881,56,0.185,6.823286122
2,919,47.99999991,47.99999991,437.9999991,95.99999981,95.99999981,95.99999981,773.9999985,63.94773075,61.63130842,3999.68766,7.670898438,5610.868587,60.72275361,10.5,10.57370647,19.73313688,22.90467707,16.9972429,4000.340178,2271.139184,0.916666667,30.42341866,71.49264857,740.897223,6398.967753,11.77801843,755.4543707,8.044456822,25.77420039,16.04124506,4.632973394,56,0.185,6.823286122
2,925.4760996,47.99999991,47.99999991,437.9999991,95.99999981,95.99999981,95.99999981,773.9999985,63.85971391,61.64021012,3995.849034,7.695068359,5541.822705,61.47902723,10.5,10.72302828,19.71168639,23.08932896,16.9963007,3999.847031,2271.271451,0,29.00568895,71.44518373,738.8675842,6398.966551,11.73276625,772.5534094,8.053652504,25.5182236,16.10694322,4.53043111,56,0.185,6.830308307
2,933.4188601,49.9999999,49.9999999,435.9999991,95.99999981,95.99999981,97.99999981,775.9999985,63.80262571,61.67880599,3970.754079,7.743408203,5532.212842,61.58326969,10.5,10.7214152,20.01585734,22.67274246,16.99527544,4009.311502,2271.209767,0,27.59730903,71.38461356,736.8556151,6399.005857,11.6634537,775.3859388,8.052927966,25.26497714,16.26234987,4.513881185,56,0.185,6.838854039
2,937.3902404,47.99999991,47.99999991,435.9999991,95.99999981,95.99999981,97.99999981,773.9999985,63.7812184,61.72661532,3916.104025,7.852172852,5459.401304,62.41310232,10.5,10.72672656,20.09173949,21.13453699,16.99562755,4016.674801,2270.33894,0.083333333,25.82431943,71.33894212,736.1746799,6399.118426,11.59849552,789.0046743,8.037453799,24.99962901,16.4392779,4.43596865,56,0.185,6.843099674
2,945.3330009,47.99999991,47.99999991,435.9999991,95.99999981,97.99999981,95.99999981,773.9999985,63.80417495,61.78659786,3834.5747,8.015978479,5215.918198,65.31953208,10.5,10.69622973,20.15296117,21.88264138,16.99468343,4013.791804,2267.447709,0.083333333,23.889854,71.36954419,734.8080809,6399.074237,11.59103499,803.4200533,8.01060018,24.95948432,16.47527244,4.356376201,56,0.185,6.851537247
2,953.2757614,49.9999999,49.9999999,433.9999991,95.99999981,97.99999981,95.99999981,773.9999985,63.88045322,61.8655471,3719.369889,8.250976563,5330.499181,63.9147045,10.5,11.03216793,20.13074937,21.78247489,16.99234917,4018.424737,2262.982774,0.083333333,22.57337269,71.37633378,733.3979454,6399.069608,11.59836961,803.0682814,8.003551014,25.07289337,16.51005516,4.358284446,56,0.185,6.859904223
2,961.2185219,47.99999991,47.99999991,433.9999991,97.99999981,95.99999981,95.99999981,771.9999985,63.95550073,61.9405327,3565.798403,8.613525391,5521.056152,61.70818092,10.5,10.8644695,20.1543495,22.06503118,16.98727011,4026.068396,2257.225206,0.166666667,21.99815181,71.36997815,731.9014998,6399.273758,11.55489033,796.6171568,7.949423222,25.22004996,16.52284471,4.393578484,56,0.185,6.868201773
2,969.1612825,47.99999991,47.99999991,433.9999991,97.99999981,95.99999981,97.99999981,773.9999985,63.90668063,62.05102824,3403.996694,9.033736274,5298.704582,62.9752828,10.5,10.68401346,20.04881839,21.9824815,16.98516696,4093.265559,2251.165476,0.166666667,21.97995439,71.37980744,731.0171018,6399.474731,11.5295804,792.9485624,7.916361232,25.3273034,16.53204881,4.413905474,56,0.185,6.87643104
2,977.104043,47.99999991,47.99999991,435.9999991,95.99999981,95.99999981,97.99999981,773.9999985,63.81018481,62.20906811,3244.933692,9.473650025,5385.799655,63.2584392,10.5,10.90757893,20.06119453,22.13904049,16.98586504,4105.844875,2247.114321,0.25,21.80884423,71.38951881,730.6529088,6399.639116,11.52709819,792.8356634,7.907633768,25.40524433,16.55330238,4.41453401,56,0.187,6.884593139
