x ind,t ind,y,t,x
10,41,9.802945783,160,0.9
11,41,10,160,1
1,42,-4.993276108,164,0
2,42,-4.591275344,164,0.1
3,42,-3.239433302,164,0.2
4,42,1.401574929,164,0.3
5,42,4.721803437,164,0.4
6,42,6.838623852,164,0.5
7,42,8.1604882,164,0.6
8,42,8.982338082,164,0.7
9,42,9.481081858,164,0.8
10,42,9.785582079,164,0.9
11,42,10,164,1
1,43,-4.994428774,168,0
2,43,-4.624748354,168,0.1
3,43,-3.333028399,168,0.2
4,43,1.138022769,168,0.3
5,43,4.481671948,168,0.4
6,43,6.679996047,168,0.5
7,43,8.060713885,168,0.6
8,43,8.917864566,168,0.7
9,43,9.442321944,168,0.8
10,43,9.767606799,168,0.9
11,43,10,168,1
1,44,-4.99538384,172,0
2,44,-4.645839523,172,0.1
3,44,-3.415187983,172,0.2
4,44,0.913057755,172,0.3
5,44,4.253130509,172,0.4
6,44,6.516848558,172,0.5
7,44,7.956239799,172,0.6
8,44,8.851477994,172,0.7
9,44,9.40257849,172,0.8
10,44,9.749070933,172,0.9
11,44,10,172,1
1,45,-4.99617518,176,0
2,45,-4.663928083,176,0.1
3,45,-3.479780338,176,0.2
4,45,0.715874894,176,0.3
5,45,4.038351616,176,0.4
6,45,6.352360031,176,0.5
7,45,7.847657945,176,0.6
8,45,8.782807774,176,0.7
9,45,9.361750414,176,0.8
10,45,9.730001944,176,0.9
11,45,10,176,1
1,46,-4.996830862,180,0
2,46,-4.678249098,180,0.1
3,46,-3.535753033,180,0.2
4,46,0.54163836,180,0.3
5,46,3.837118969,180,0.4
6,46,6.188992199,180,0.5
7,46,7.735884396,180,0.6
8,46,8.711729174,180,0.7
9,46,9.319708508,180,0.8
10,46,9.710396165,180,0.9
11,46,10,180,1
1,47,-4.997374142,184,0
2,47,-4.690573843,184,0.1
3,47,-3.583907165,184,0.2
4,47,0.385613648,184,0.3
5,47,3.648828856,184,0.4
6,47,6.028363983,184,0.5
7,47,7.621935962,184,0.6
8,47,8.638324252,184,0.7
9,47,9.276349506,184,0.8
10,47,9.690225611,184,0.9
11,47,10,184,1
1,48,-4.997824288,188,0
2,48,-4.701161495,188,0.1
3,48,-3.626560506,188,0.2
4,48,0.24467541,188,0.3
5,48,3.472496808,188,0.4
6,48,5.871530651,188,0.5
7,48,7.50676308,188,0.6
8,48,8.562824611,188,0.7
9,48,9.231622144,188,0.8
10,48,9.669452857,188,0.9
11,48,10,188,1
1,49,-4.998197266,192,0
2,49,-4.71050105,192,0.1
3,49,-3.664639205,192,0.2
4,49,0.116286638,192,0.3
5,49,3.307118171,192,0.4
6,49,5.719119535,192,0.5
7,49,7.391193664,192,0.6
8,49,8.485548846,192,0.7
9,49,9.185534365,192,0.8
10,49,9.648045187,192,0.9
11,49,10,192,1
1,50,-4.998506305,196,0
2,50,-4.718811935,196,0.1
3,50,-3.699061108,196,0.2
4,50,-0.001462466,196,0.3
5,50,3.151708174,196,0.4
6,50,5.57147234,196,0.5
7,50,7.275913975,196,0.6
8,50,8.406855197,196,0.7
9,50,9.138147986,196,0.8
10,50,9.625984525,196,0.9
11,50,10,196,1
1,51,-4.998762366,200,0
2,51,-4.726297409,200,0.1
3,51,-3.730415191,200,0.2
4,51,-2.161315621,200,0.3
5,51,3.005362151,200,0.4
6,51,5.428734839,200,0.5
7,51,7.161476064,200,0.6
8,51,8.327108207,200,0.7
9,51,9.08956803,200,0.8
10,51,9.603272345,200,0.9
11,51,10,200,1
1,52,-4.998974531,204,0
2,52,-4.733092651,204,0.1
3,52,-4.16849231,204,0.2
4,52,-2.313891367,204,0.3
5,52,2.457955216,204,0.4
6,52,5.290924263,204,0.5
7,52,7.048313497,204,0.6
8,52,8.24665805,204,0.7
9,52,9.039930645,204,0.8
10,52,9.579930488,204,0.9
11,52,10,204,1
1,53,-4.999150325,208,0
2,53,-4.820981589,208,0.1
3,53,-4.22428991,208,0.2
4,53,-2.760602463,208,0.3
5,53,2.071066053,208,0.4
6,53,5.076299994,208,0.5
7,53,6.936760124,208,0.6
8,53,8.165828834,208,0.7
9,53,8.989391876,208,0.8
10,53,9.555999247,208,0.9
11,53,10,208,1
1,54,-4.999295983,212,0
2,54,-4.836306159,212,0.1
3,54,-4.382297544,212,0.2
4,54,-2.900516054,212,0.3
5,54,1.70661408,212,0.4
6,54,4.847868557,212,0.5
7,54,6.810770476,212,0.6
8,54,8.084913075,212,0.7
9,54,8.938118208,212,0.8
10,54,9.531533972,212,0.9
11,54,10,212,1
1,55,-4.999416671,216,0
2,55,-4.868652878,216,0.1
3,55,-4.429070844,216,0.2
4,55,-3.098882754,216,0.3
5,55,1.414109063,216,0.4
6,55,4.612736721,216,0.5
7,55,6.673333474,216,0.6
8,55,8.00091801,216,0.7
9,55,8.886279095,216,0.8
10,55,9.506601145,216,0.9
11,55,10,216,1
1,56,-4.99951667,220,0
2,56,-4.879570684,220,0.1
3,56,-4.495211761,220,0.2
4,56,-3.201689346,220,0.3
5,56,1.151837083,220,0.4
6,56,4.385650783,220,0.5
7,56,6.527066122,220,0.6
8,56,7.912675479,220,0.7
9,56,8.833392449,220,0.8
10,56,9.481274528,220,0.9
11,56,10,220,1
1,57,-4.999599526,224,0
2,57,-4.89334815,224,0.1
3,57,-4.527015047,224,0.2
4,57,-3.308659722,224,0.3
5,57,0.928406406,224,0.4
6,57,4.167670493,224,0.5
7,57,6.376250437,224,0.6
8,57,7.819909524,224,0.7
9,57,8.778950195,224,0.8
10,57,9.455502249,224,0.9
11,57,10,224,1
1,58,-4.999668178,228,0
2,58,-4.900392891,228,0.1
3,58,-4.56022077,228,0.2
4,58,-3.382171458,228,0.3
5,58,0.729302136,228,0.4
6,58,3.962004834,228,0.5
7,58,6.223615943,228,0.6
8,58,7.72320738,228,0.7
9,58,8.722581609,228,0.8
10,58,9.429151756,228,0.9
11,58,10,228,1
1,59,-4.999725061,232,0
2,59,-4.907395905,232,0.1
3,59,-4.581736416,232,0.2
4,59,-3.450342037,232,0.3
5,59,0.553949681,232,0.4
6,59,3.768230444,232,0.5
7,59,6.071560361,232,0.6
8,59,7.62339261,232,0.7
9,59,8.664154646,232,0.8
10,59,9.40206942,232,0.9
11,59,10,232,1
1,60,-4.999772193,236,0
2,60,-4.912055444,236,0.1
3,60,-4.601615049,236,0.2
4,60,-3.504708844,236,0.3
5,60,0.396308638,236,0.4
6,60,3.586456709,236,0.5
7,60,5.921604369,236,0.6
8,60,7.521412199,236,0.7
9,60,8.603723638,236,0.8
10,60,9.374136574,236,0.9
11,60,10,236,1
1,61,-4.999811246,240,0
2,61,-4.916272772,240,0.1
3,61,-4.616896006,240,0.2
4,61,-3.553669351,240,0.3
5,61,0.254459725,240,0.4
6,61,3.415847484,240,0.5
7,61,5.774872558,240,0.6
8,61,7.418149491,240,0.7
9,61,8.54148652,240,0.8
10,61,9.345292752,240,0.9
11,61,10,240,1
1,62,-4.999843603,244,0
2,62,-4.919546154,244,0.1
3,62,-4.630552339,244,0.2
4,62,-3.595761072,244,0.3
5,62,0.125407115,244,0.4
6,62,3.255741742,244,0.5
7,62,5.632050129,244,0.6
8,62,7.314399197,244,0.7
9,62,8.477726432,244,0.8
10,62,9.315541115,244,0.9
11,62,10,244,1
1,63,-4.999870414,248,0
2,63,-4.922446721,248,0.1
3,63,-4.642051039,248,0.2
4,63,-3.63375681,248,0.3
5,63,0.007510498,248,0.4
6,63,3.105281191,248,0.5
7,63,5.493575504,248,0.6
8,63,7.210832097,248,0.7
9,63,8.412772727,248,0.8
10,63,9.284940061,248,0.9
11,63,10,248,1
1,64,-4.999892628,252,0
2,64,-4.924895351,252,0.1
3,64,-4.652351585,252,0.2
4,64,-3.667709861,252,0.3
5,64,-0.100940369,252,0.4
6,64,2.963710247,252,0.5
7,64,5.35967472,252,0.6
8,64,7.108004478,252,0.7
9,64,8.346968821,252,0.8
10,64,9.253590402,252,0.9
11,64,10,252,1
1,65,-4.999911035,256,0
2,65,-4.927080564,256,0.1
3,65,-4.661449231,256,0.2
4,65,-3.698687672,256,0.3
5,65,-2.179774503,256,0.4
6,65,2.830278704,256,0.5
7,65,5.230443839,256,0.6
8,65,7.006364248,256,0.7
9,65,8.280652197,256,0.8
10,65,9.221621245,256,0.9
11,65,10,256,1
1,66,-4.999926286,260,0
