,after,after_and_js_jannies,age,artistname,available,collected_at,date,is_free_market,is_jannies,left_days,name,price_per_deal,price_per_unit,unit
58,1,1,25.0,氷川きよし,0,,,1,1,9,氷川きよしコンサートツアー2019 20周年大感謝祭！！,6000,3000.0,2
59,1,1,25.0,氷川きよし,0,,,1,1,9,氷川きよしコンサートツアー2019 20周年大感謝祭！！,9000,9000.0,1
60,1,1,25.0,氷川きよし,0,,,1,1,9,氷川きよしコンサートツアー2019 20周年大感謝祭！！,10000,10000.0,1
61,1,1,25.0,氷川きよし,0,,,1,1,9,氷川きよしコンサートツアー2019 20周年大感謝祭！！,10000,5000.0,2
62,1,1,25.0,氷川きよし,0,,,1,1,9,氷川きよしコンサートツアー2019 20周年大感謝祭！！,12000,6000.0,2
63,1,1,25.0,氷川きよし,0,,,1,1,9,氷川きよしコンサートツアー2019 20周年大感謝祭！！,18000,18000.0,1
64,1,1,25.0,氷川きよし,0,,,1,1,9,氷川きよしコンサートツアー2019 20周年大感謝祭！！,18000,18000.0,1
65,1,1,25.0,氷川きよし,0,,,1,1,13,氷川きよしコンサートツアー2019 20周年大感謝祭！！,8500,8500.0,1
66,1,1,25.0,氷川きよし,0,,,1,1,13,氷川きよしコンサートツアー2019 20周年大感謝祭！！,8500,4250.0,2
67,1,1,25.0,氷川きよし,0,,,1,1,13,氷川きよしコンサートツアー2019 20周年大感謝祭！！,8500,4250.0,2
68,1,1,25.0,氷川きよし,0,,,1,1,13,新・BS日本のうた,5000,5000.0,1
69,1,1,25.0,氷川きよし,0,,,1,1,13,新・BS日本のうた,2800,2800.0,1
70,1,1,25.0,氷川きよし,0,,,1,1,13,新・BS日本のうた,2800,2800.0,1
71,1,1,25.0,氷川きよし,0,,,1,1,13,新・BS日本のうた,3000,3000.0,1
72,1,1,25.0,氷川きよし,0,,,1,1,23,氷川きよしコンサートツアー2019 20周年大感謝祭！！,10000,10000.0,1
73,1,1,25.0,氷川きよし,0,,,1,1,23,氷川きよしコンサートツアー2019 20周年大感謝祭！！,13000,6500.0,2
74,1,1,25.0,氷川きよし,0,,,1,1,23,氷川きよしコンサートツアー2019 20周年大感謝祭！！,7500,7500.0,1
75,1,1,25.0,氷川きよし,0,,,1,1,23,氷川きよしコンサートツアー2019 20周年大感謝祭！！,7500,3750.0,2
76,1,1,25.0,氷川きよし,0,,,1,1,23,氷川きよしコンサートツアー2019 20周年大感謝祭！！,9800,9800.0,1
77,1,1,25.0,氷川きよし,0,,,1,1,23,氷川きよしコンサートツアー2019 20周年大感謝祭！！,9800,4900.0,2
78,1,1,25.0,氷川きよし,0,,,1,1,23,氷川きよしコンサートツアー2019 20周年大感謝祭！！,13500,13500.0,1
79,1,1,25.0,氷川きよし,0,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,5000,2500.0,2
80,1,1,25.0,氷川きよし,0,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,5000,5000.0,1
81,1,1,25.0,氷川きよし,0,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,6000,3000.0,2
82,1,1,25.0,氷川きよし,0,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,6500,3250.0,2
83,1,1,25.0,氷川きよし,0,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,7000,7000.0,1
84,1,1,25.0,氷川きよし,0,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,13000,13000.0,1
85,1,1,25.0,氷川きよし,0,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,13000,13000.0,1
86,1,1,25.0,氷川きよし,0,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,16000,16000.0,1
87,1,1,25.0,氷川きよし,0,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,18000,9000.0,2
88,1,1,25.0,氷川きよし,0,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,23000,23000.0,1
89,1,1,25.0,氷川きよし,0,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,28000,14000.0,2
90,1,1,25.0,氷川きよし,0,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,29800,29800.0,1
91,1,1,25.0,氷川きよし,0,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,34800,34800.0,1
92,1,1,25.0,氷川きよし,0,,,1,1,29,氷川きよしコンサートツアー2019 20周年大感謝祭！！,8500,8500.0,1
93,1,1,25.0,氷川きよし,0,,,1,1,31,氷川きよしコンサートツアー2019 20周年大感謝祭！！,9500,4750.0,2
94,1,1,25.0,氷川きよし,0,,,1,1,31,氷川きよしコンサートツアー2019 20周年大感謝祭！！,7500,7500.0,1
95,1,1,25.0,氷川きよし,0,,,1,1,31,氷川きよしコンサートツアー2019 20周年大感謝祭！！,9500,4750.0,2
96,1,1,25.0,氷川きよし,0,,,1,1,33,氷川きよしコンサートツアー2019 20周年大感謝祭！！,9500,9500.0,1
97,1,1,25.0,氷川きよし,0,,,1,1,33,氷川きよしコンサートツアー2019 20周年大感謝祭！！,9500,4750.0,2
98,1,1,25.0,氷川きよし,0,,,1,1,33,氷川きよしコンサートツアー2019 20周年大感謝祭！！,9500,4750.0,2
99,1,1,25.0,氷川きよし,0,,,1,1,46,氷川きよしコンサートツアー2019 20周年大感謝祭！！,7500,7500.0,1
100,1,1,25.0,氷川きよし,0,,,1,1,46,氷川きよしコンサートツアー2019 20周年大感謝祭！！,11000,5500.0,2
101,1,1,25.0,氷川きよし,0,,,1,1,46,氷川きよしコンサートツアー2019 20周年大感謝祭！！,11000,5500.0,2
102,1,1,25.0,氷川きよし,0,,,1,1,46,氷川きよしコンサートツアー2019 20周年大感謝祭！！,13000,13000.0,1
103,1,1,25.0,氷川きよし,0,,,1,1,46,氷川きよしコンサートツアー2019 20周年大感謝祭！！,7500,7500.0,1
104,1,1,25.0,氷川きよし,0,,,1,1,46,氷川きよしコンサートツアー2019 20周年大感謝祭！！,8500,8500.0,1
105,1,1,25.0,氷川きよし,0,,,1,1,46,氷川きよしコンサートツアー2019 20周年大感謝祭！！,10500,5250.0,2
106,1,1,25.0,氷川きよし,0,,,1,1,46,氷川きよしコンサートツアー2019 20周年大感謝祭！！,11000,5500.0,2
107,1,1,25.0,氷川きよし,0,,,1,1,46,氷川きよしコンサートツアー2019 20周年大感謝祭！！,11000,5500.0,2
108,1,1,25.0,氷川きよし,0,,,1,1,46,氷川きよしコンサートツアー2019 20周年大感謝祭！！,11000,5500.0,2
109,1,1,25.0,坂本冬美,1,2019-04-13 00:00:00,2019-04-26 00:00:00,1,1,4,JASRAC創立80周年記念 こころの歌人たちスペシャル 歌よ未来へ,9000,4500.0,2
110,1,1,25.0,坂本冬美,0,2019-04-13 00:00:00,2019-04-26 00:00:00,1,1,4,JASRAC創立80周年記念 こころの歌人たちスペシャル 歌よ未来へ,9000,4500.0,2
111,1,1,25.0,坂本冬美,1,2019-04-13 00:00:00,2019-04-26 00:00:00,1,1,4,JASRAC創立80周年記念 こころの歌人たちスペシャル 歌よ未来へ,17000,17000.0,1
112,1,1,25.0,坂本冬美,1,2019-04-13 00:00:00,2019-04-26 00:00:00,1,1,13,新・BS日本のうた,3200,3200.0,1
113,1,1,25.0,坂本冬美,1,2019-04-13 00:00:00,2019-04-26 00:00:00,1,1,13,新・BS日本のうた,3500,3500.0,1
114,1,1,25.0,坂本冬美,0,2019-04-13 00:00:00,2019-04-26 00:00:00,1,1,13,新・BS日本のうた,3000,3000.0,1
115,1,1,25.0,坂本冬美,1,2019-04-13 00:00:00,2019-04-26 00:00:00,1,1,13,新・BS日本のうた,3300,3300.0,1
116,1,1,25.0,坂本冬美,1,2019-04-13 00:00:00,2019-04-26 00:00:00,1,1,13,新・BS日本のうた,3980,3980.0,1
117,1,1,25.0,坂本冬美,1,2019-04-13 00:00:00,2019-04-26 00:00:00,1,1,18,五木ひろし 特別公演 歌・舞・奏スペシャル,8000,4000.0,2
118,1,1,25.0,坂本冬美,1,,,1,1,18,五木ひろし 特別公演 歌・舞・奏スペシャル,10000,5000.0,2
119,1,1,25.0,坂本冬美,1,,,1,1,22,五木ひろし 特別公演 歌・舞・奏スペシャル,12000,6000.0,2
120,1,1,25.0,坂本冬美,1,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,5000,5000.0,1
121,1,1,25.0,坂本冬美,1,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,5000,5000.0,1
122,1,1,25.0,坂本冬美,1,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,7000,3500.0,2
123,1,1,25.0,坂本冬美,1,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,8500,8500.0,1
124,1,1,25.0,坂本冬美,1,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,32000,32000.0,1
125,1,1,25.0,坂本冬美,1,,,1,1,33,五木ひろし 特別公演 歌・舞・奏スペシャル,18500,18500.0,1
126,1,1,25.0,坂本冬美,1,,,1,1,35,五木ひろし 特別公演 歌・舞・奏スペシャル,9000,4500.0,2
127,1,1,25.0,坂本冬美,1,,,1,1,66,すぎもとまさとチャリティーコンサート,20000,20000.0,1
128,1,1,25.0,坂本冬美,1,,,1,1,78,坂本冬美コンサート,10000,10000.0,1
129,1,1,25.0,坂本冬美,1,,,1,1,78,坂本冬美コンサート,10000,5000.0,2
130,1,1,25.0,坂本冬美,0,,,1,1,13,新・BS日本のうた,5000,5000.0,1
131,1,1,25.0,坂本冬美,0,,,1,1,13,新・BS日本のうた,2800,2800.0,1
132,1,1,25.0,坂本冬美,0,,,1,1,13,新・BS日本のうた,2800,2800.0,1
133,1,1,25.0,坂本冬美,0,,,1,1,13,新・BS日本のうた,3000,3000.0,1
134,1,1,25.0,坂本冬美,0,,,1,1,16,五木ひろし 特別公演 歌・舞・奏スペシャル,17000,8500.0,2
135,1,1,25.0,坂本冬美,0,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,5000,2500.0,2
136,1,1,25.0,坂本冬美,0,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,5000,5000.0,1
137,1,1,25.0,坂本冬美,0,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,6000,3000.0,2
138,1,1,25.0,坂本冬美,0,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,6500,3250.0,2
139,1,1,25.0,坂本冬美,0,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,7000,7000.0,1
140,1,1,25.0,坂本冬美,0,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,13000,13000.0,1
141,1,1,25.0,坂本冬美,0,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,13000,13000.0,1
142,1,1,25.0,坂本冬美,0,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,16000,16000.0,1
