name,collected_at,left_days,price_per_unit,is_jannies,after,after_and_is_jannies
HAMLET ハムレット,2019-06-11,94,69000.0,1,0,0
HAMLET ハムレット,2019-06-11,95,41500.0,1,0,0
HAMLET ハムレット,2019-06-11,97,28600.0,1,0,0
HAMLET ハムレット,2019-06-11,98,42500.0,1,0,0
HAMLET ハムレット,2019-06-11,99,36666.666666666664,1,0,0
HAMLET ハムレット,2019-06-11,101,38250.0,1,0,0
HAMLET ハムレット,2019-06-11,102,30638.833333333332,1,0,0
HAMLET ハムレット,2019-06-11,105,32714.285714285714,1,0,0
HAMLET ハムレット,2019-06-11,106,49500.0,1,0,0
HAMLET ハムレット,2019-06-11,109,30600.0,1,0,0
HAMLET ハムレット,2019-06-11,110,27500.0,1,0,0
HAMLET ハムレット,2019-06-11,111,25000.0,1,0,0
HAMLET ハムレット,2019-06-11,112,34480.0,1,0,0
HAMLET ハムレット,2019-06-11,113,59500.0,1,0,0
HAMLET ハムレット,2019-06-11,115,27875.0,1,0,0
HAMLET ハムレット,2019-06-11,116,26750.0,1,0,0
HAMLET ハムレット,2019-06-11,117,75400.0,1,0,0
HAMLET ハムレット,2019-06-11,120,41000.0,1,0,0
HAMLET ハムレット,2019-06-11,122,29666.666666666668,1,0,0
HAMLET ハムレット,2019-06-12,88,73906.25,1,0,0
HAMLET ハムレット,2019-06-12,89,51750.0,1,0,0
HAMLET ハムレット,2019-06-12,90,45000.0,1,0,0
HAMLET ハムレット,2019-06-12,91,55000.0,1,0,0
HAMLET ハムレット,2019-06-12,93,69000.0,1,0,0
HAMLET ハムレット,2019-06-12,94,41500.0,1,0,0
HAMLET ハムレット,2019-06-12,96,28600.0,1,0,0
HAMLET ハムレット,2019-06-12,97,42500.0,1,0,0
HAMLET ハムレット,2019-06-12,98,36666.666666666664,1,0,0
HAMLET ハムレット,2019-06-12,100,38250.0,1,0,0
HAMLET ハムレット,2019-06-12,101,30638.833333333332,1,0,0
HAMLET ハムレット,2019-06-12,104,32571.428571428572,1,0,0
HAMLET ハムレット,2019-06-12,105,49500.0,1,0,0
HAMLET ハムレット,2019-06-12,108,28250.0,1,0,0
HAMLET ハムレット,2019-06-12,109,27500.0,1,0,0
HAMLET ハムレット,2019-06-12,110,25000.0,1,0,0
HAMLET ハムレット,2019-06-12,111,34480.0,1,0,0
HAMLET ハムレット,2019-06-12,112,59500.0,1,0,0
HAMLET ハムレット,2019-06-12,114,27875.0,1,0,0
HAMLET ハムレット,2019-06-12,115,26750.0,1,0,0
HAMLET ハムレット,2019-06-12,116,75400.0,1,0,0
HAMLET ハムレット,2019-06-12,119,40500.0,1,0,0
HAMLET ハムレット,2019-06-12,121,32222.222222222223,1,0,0
HAMLET ハムレット,2019-06-13,87,69194.44444444444,1,0,0
HAMLET ハムレット,2019-06-13,88,56000.0,1,0,0
HAMLET ハムレット,2019-06-13,89,46200.0,1,0,0
HAMLET ハムレット,2019-06-13,90,55000.0,1,0,0
HAMLET ハムレット,2019-06-13,92,62000.0,1,0,0
HAMLET ハムレット,2019-06-13,93,41500.0,1,0,0
HAMLET ハムレット,2019-06-13,95,27400.0,1,0,0
HAMLET ハムレット,2019-06-13,96,23125.0,1,0,0
HAMLET ハムレット,2019-06-13,97,37250.0,1,0,0
HAMLET ハムレット,2019-06-13,99,38250.0,1,0,0
HAMLET ハムレット,2019-06-13,100,30638.833333333332,1,0,0
HAMLET ハムレット,2019-06-13,103,32400.0,1,0,0
HAMLET ハムレット,2019-06-13,104,47666.666666666664,1,0,0
HAMLET ハムレット,2019-06-13,107,26100.0,1,0,0
HAMLET ハムレット,2019-06-13,108,27500.0,1,0,0
HAMLET ハムレット,2019-06-13,109,25000.0,1,0,0
HAMLET ハムレット,2019-06-13,110,34480.0,1,0,0
HAMLET ハムレット,2019-06-13,111,50000.0,1,0,0
HAMLET ハムレット,2019-06-13,113,25333.333333333332,1,0,0
